Escuela_ID;Curso;División;Matrícula
417;6°;B;22
417;6°;C;25
417;7°;A;26
417;7°;B;25
417;7°;C;19
417;7°;D;20
457;1°;U;12
457;2°;U;24
457;3°;A;13
457;3°;B;13
457;4°;U;17
457;5°;U;23
457;6°;U;11
457;7°;U;15
461;1°;A;13
461;2°;A;21
461;3°;A ;28
461;4°;A;18
461;5°;A;16
461;6°;A;20
461;7°;A;19
477;1°;A;17
477;2°;A;28
477;3°;A;16
477;3°;B;16
477;4°;A;21
477;5°;A;23
477;6°;A;15
477;7°;A;27
478;1°;A;22
478;1°;B;19
478;2°;A;19
478;2°;B;17
478;2°;C;14
478;2°;D;19
478;3°;A;18
478;3°;B;17
478;3°;C;20
478;4°;A;26
478;4°;B;19
478;5°;A;30
478;5°;C;16
478;6°;A;22
478;6°;B;23
478;7°;A;25
478;7°;B;22
485;1°;A;23
485;1°;B;20
485;2°;A;23
485;2°;B;23
485;3°;A;25
485;3°;B;23
485;4°;A;24
485;4°;B;24
485;5°;A;24
485;5°;B;22
485;6°;A;17
485;6°;B;18
485;7°;A;24
485;7°;B;24
486;1°;A;24
486;1°;B;27
486;2°;A;25
486;2°;B;23
486;2°;C;16
486;3°;A;25
486;3°;B;21
486;3°;C;19
486;4°;A;28
486;4°;B;30
486;5°;A;19
486;5°;B;21
486;5°;C;23
486;6°;A;17
486;6°;B;17
486;6°;C;16
486;7°;A;19
486;7°;B;19
486;7°;C;19
494;1°;A;27
494;2°;A;22
494;2°;B;13
494;3°;A;27
494;4°;A;29
494;5°;A;26
494;6°;A;24
494;7°;A;30
511;1°;UNICO;18
511;2°;UNICO;15
511;3°;UNICO;11
511;4°;UNICO;16
511;5°;UNICO;12
514;1°;A;20
514;1°;B;17
514;1°;C;16
514;2°;A;30
514;2°;B;27
514;2°;C;22
514;3°;A;27
514;3°;B;26
514;3°;C;26
514;4°;A;25
514;4°;B;25
514;4°;C;19
514;5°;A;20
514;5°;B;21
514;5°;C;17
514;6°;A;21
514;6°;B;21
514;6°;C;13
514;7°;A;29
514;7°;B;26
514;7°;C;23
552;1°;A;16
552;1°;B;12
552;1°;C;18
552;2°;A;29
552;2°;B;17
552;2°;C;15
552;3°;A;20
552;3°;B;17
552;3°;C;22
552;4°;A;27
552;4°;B;17
552;4°;C;17
552;5°;A;20
552;5°;B;17
552;6°;A;27
552;6°;B;15
552;6°;C;14
552;7°;A;26
552;7°;B;25
582;1°;A;23
582;1°;B;18
582;2°;A;24
582;2°;B;27
582;3°; C;18
582;3°;A;23
582;3°;B;23
582;4°;A;31
582;4°;B;27
582;5°;A;31
582;5°;B;23
582;6°;A;32
582;6°;B;25
582;7°;A;29
582;7°;B;20
621;1°;U;19
621;2°;A;22
621;2°;B;23
621;3°;U;28
621;4°;U;27
621;5°;U;20
621;6°;A;14
621;6°;B;12
621;7°;U;23
989;1°;1ra;35
989;1°;2da;33
989;1°;3°;34
989;1°;5ta;32
989;1°;6ta;31
989;1°;7ma;31
989;2°;1ra;38
989;2°;2da;38
989;2°;3°;41
989;2°;4ta;35
989;2°;5ta;29
