Escuela_ID;Lista_de_cursos_por_Escuela_ID
9;['2°', '3°', '4°', '5°', '6°', '7°']
14;['2°', '3°', '4°', '5°', '6°', '7°']
22;['2°', '3°', '4°', '5°', '6°', '7°']
60;['2°', '3°', '4°', '5°', '6°', '7°']
74;['2°', '3°', '4°', '5°', '6°', '7°']
194;['2°', '3°', '4°', '5°', '6°', '7°']
197;['2°', '3°', '4°', '5°', '6°', '7°']
210;['2°', '3°', '4°', '5°', '6°', '7°']
250;['2°', '3°', '4°', '5°', '6°', '7°']
253;['2°', '3°', '4°', '5°', '6°', '7°']
288;['4°', '5°', '6°', '7°']
346;['2°', '3°', '4°', '5°', '6°', '7°']
378;['3°', '6°']
384;['2°', '3°', '4°', '5°', '6°', '7°']
392;['2°', '3°', '4°', '5°', '6°', '7°']
393;['2°', '3°', '4°', '5°', '6°', '7°']
417;['2°', '3°', '4°', '5°', '6°', '7°']
457;['2°', '3°', '4°', '5°', '6°', '7°']
461;['2°', '3°', '4°', '5°', '6°', '7°']
477;['2°', '3°', '4°', '5°', '6°', '7°']
478;['2°', '3°', '4°', '5°', '6°', '7°']
485;['2°', '3°', '4°', '5°', '6°', '7°']
486;['2°', '3°', '4°', '5°', '6°', '7°']
494;['2°', '3°', '4°', '5°', '6°', '7°']
511;['2°', '3°', '4°', '5°', '6°', '7°']
514;['2°', '3°', '4°', '5°', '6°', '7°']
552;['2°', '3°', '4°', '5°', '6°', '7°']
582;['2°', '3°', '4°', '5°', '6°', '7°']
621;['2°', '3°', '4°', '5°', '6°', '7°']
989;['1°', '2°', '3°', '4°', '5°']
990;['1°', '2°', '3°', '4°', '5°', '6°']
991;['1°', '2°', '3°', '4°', '5°', '6°']
993;['1°', '2°', '3°', '4°', '5°', '6°']
997;['1°', '2°', '3°', '4°', '5°']
1004;['1°', '2°', '3°', '4°', '5°', '6°']
1008;['1°', '2°', '3°', '4°', '5°', '6°']
1010;['1°', '2°', '3°', '4°', '5°', '6°']
1012;['1°', '2°', '3°', '4°', '5°']
1015;['1°', '2°', '3°', '4°', '5°']
1022;['2°', '3°', '4°', '5°', '6°']
1023;['1°', '2°', '3°', '4°', '5°', '6°']
1024;['1°', '2°', '3°']
1026;['1°', '2°', '3°', '4°', '5°', '6°']
1027;['1°', '2°', '3°', '4°', '5°', '6°']
1034;['1°', '2°', '3°', '4°', '5°', '6°']
1037;['1°', '2°', '3°', '4°', '5°']
1038;['1°', '2°', '3°', '4°', '5°']
1043;['1°', '2°', '3°', '4°', '5°', '6°']
1050;['1°', '2°', '3°', '4°', '5°', '6°']
1052;['1°', '2°', '3°', '4°', '5°', '6°']
1053;['1°', '2°', '3°', '4°', '5°']
1054;['1°', '2°', '3°', '4°', '5°']
1055;['1°', '2°', '3°', '4°', '5°']
1065;['1°', '2°', '3°', '4°', '5°', '6°']
1066;['1°', '2°', '3°', '4°', '5°']
1069;['1°', '2°', '3°', '4°', '5°', '6°']
1070;['1°', '2°', '3°', '4°', '5°']
1073;['1°', '2°', '3°', '4°', '5°']
1074;['1°', '2°', '3°', '4°', '5°']
1080;['1°', '2°', '3°', '4°', '5°']
1092;['1°', '2°', '3°', '4°', '5°', '6°']
1096;['1°', '2°', '3°', '4°', '5°', '6°']
1098;['1°', '2°', '3°', '4°', '5°', '6°']
1099;['1°', '2°', '3°', '4°', '5°', '6°']
1103;['1°', '2°', '3°', '4°', '5°']
1106;['1°', '2°', '3°', '4°', '5°', '6°']
1107;['1°', '2°', '3°', '4°', '5°', '6°']
1108;['1°', '2°', '3°', '4°', '5°', '6°']
1109;['1°', '2°', '3°', '4°', '5°', '6°']
1110;['1°', '2°', '3°', '4°', '5°', '6°']
1111;['1°', '2°', '3°', '4°', '5°', '6°']
1116;['1°', '2°', '3°', '4°', '5°']
1120;['1°', '2°', '3°', '4°', '5°', '6°']
1121;['1°', '2°', '3°', '4°', '5°']
1125;['1°', '2°', '3°', '4°', '5°']
1133;['1°', '2°', '3°', '4°', '5°', '6°']
1134;['1°', '2°', '3°', '4°', '5°']
1140;['1°', '2°', '3°', '4°', '5°']
1141;['1°', '2°', '3°', '4°', '5°']
1142;['1°', '2°', '3°', '4°', '5°']
1143;['1°', '2°', '3°', '4°', '5°']
1144;['1°', '2°', '3°', '4°', '5°']
1154;['1°', '2°', '3°', '4°', '5°', '6°']
1162;['1°', '2°', '3°', '4°', '5°']
1163;['1°', '2°', '3°', '4°', '5°']
1168;['1°', '2°', '3°', '4°', '5°']
1170;['1°', '2°', '3°', '4°', '5°', '6°']
1176;['1°', '2°', '3°', '4°', '5°', '6°']
1181;['1°', '2°', '3°', '4°', '5°', '6°']
